number,name,type,zone,from_station_code,from_station_name,to_station_code,to_station_name,departure,arrival,duration_h,duration_m,distance,return_train,sleeper,third_ac,second_ac,first_ac,first_class,chair_car
04601,Jammu Tawi Udhampur Special,DEMU,NR,JAT,JAMMU TAWI,UHP,UDHAMPUR,10:40:00,12:15:00,1.0,35.0,53.0,04602,0,0,0,0,0,0
04602,UDHAMPUR JAMMUTAWI DMU,DEMU,NR,UHP,UDHAMPUR,JAT,JAMMU TAWI,06:45:00,08:35:00,1.0,50.0,53.0,04601,0,0,0,0,0,0
04603,JAT UDAHMPUR DMU,DEMU,NR,JAT,JAMMU TAWI,UHP,UDHAMPUR,16:15:00,17:50:00,1.0,35.0,53.0,04604,0,0,0,0,0,0
04604,UDHAMPUR JAMMUTAWI DMU,DEMU,NR,UHP,UDHAMPUR,JAT,JAMMU TAWI,18:20:00,19:50:00,1.0,30.0,53.0,04603,0,0,0,0,0,0
04728,Mumbai BandraT-Bikaner SF Special,SF,NWR,BDTS,MUMBAI BANDRA TERMINUS,BKN,BIKANER JN,14:35:00,12:30:00,21.0,55.0,1212.0,04727,1,1,1,0,0,0
04741,Sirsa - Hisar Passenger Special,Pass,?,SSA,Sirsa,HSR,Hisar,22:50:00,00:25:00,1.0,35.0,82.0,04742,0,0,0,0,0,0
04742,Hisar - Sirsa Passenger Special,Pass,?,HSR,Hisar,SSA,Sirsa,04:20:00,06:10:00,1.0,50.0,82.0,04741,0,0,0,0,0,0
04853,Rewari Degana Merta Special,Pass,NWR,DNA,DEGANA JN,MTD,MERTA ROAD JN,22:30:00,23:45:00,1.0,15.0,44.0,04854,0,0,0,0,0,0
04854,Degana Merta Special,Pass,NWR,MTD,MERTA ROAD JN,DNA,DEGANA JN,03:40:00,04:40:00,1.0,0.0,44.0,04853,0,0,0,0,0,0
09022,JAMMU TAWI - BANDRA TERMINUS AC Suvidha Special (Starts 5 April),SF,WR,JAT,JAMMU TAWI,BDTS,MUMBAI BANDRA TERMINUS,09:30:00,17:50:00,32.0,20.0,1957.0,09021,1,1,1,1,0,0
11017,Chalukya Express,Exp,CR,DR,MUMBAI DADAR CENTRAL,YPR,YESVANTPUR JN,21:30:00,21:55:00,24.0,25.0,1205.0,11018,1,1,1,0,0,0
11019,Konark Express,Exp,CR,CSTM,MUMBAI CST,BBS,BHUBANESWAR,15:10:00,04:25:00,37.0,15.0,1932.0,11020,1,1,1,0,0,0
11020,Konark Express,Exp,CR,BBS,BHUBANESWAR,CSTM,MUMBAI CST,15:20:00,03:55:00,36.0,35.0,1932.0,11019,1,1,1,0,0,0
11023,Sahyadri Express,Exp,CR,CSTM,MUMBAI CST,KOP,C SHAHU M RAJ KOLHAPUR TERM,17:50:00,06:05:00,12.0,15.0,518.0,11024,1,1,1,0,0,0
11024,Sahyadri Express,Exp,CR,KOP,C SHAHU M RAJ KOLHAPUR TERM,CSTM,MUMBAI CST,22:50:00,11:55:00,13.0,5.0,518.0,11023,1,1,1,0,0,0
11025,Manmad Pune Express(Via Nasik),Exp,CR,MMR,MANMAD JN,PUNE,PUNE JN,04:30:00,12:05:00,7.0,35.0,364.0,11026,0,0,0,0,0,1
11026,Pune Manmad Express,Exp,CR,PUNE,PUNE JN,MMR,MANMAD JN,12:50:00,21:30:00,8.0,40.0,364.0,11025,0,0,0,0,0,1
11027,Mumbai CST-Chennai Mail,Mail,CR,CSTM,MUMBAI CST,MAS,CHENNAI CENTRAL,23:45:00,04:55:00,29.0,10.0,1283.0,11028,1,1,1,0,0,0
11029,Koyna Express,Exp,CR,CSTM,MUMBAI CST,KOP,C SHAHU M RAJ KOLHAPUR TERM,08:40:00,20:25:00,11.0,45.0,518.0,11030,0,0,0,0,0,1
11030,Koyna Express,Exp,CR,KOP,C SHAHU M RAJ KOLHAPUR TERM,CSTM,MUMBAI CST,07:55:00,20:22:00,12.0,27.0,518.0,11029,0,0,0,0,0,1
11033,PUNE - DARBHANGA Gyan Ganga Exp,Exp,CR,PUNE,PUNE JN,DBG,DARBHANGA JN,16:15:00,06:45:00,38.0,30.0,1948.0,11034,1,1,1,0,0,0
11035,Dadar-Mysore Sharavati Express,Exp,CR,DR,MUMBAI DADAR CENTRAL,MYS,MYSORE JN,21:30:00,21:45:00,24.0,15.0,1212.0,11036,1,1,1,0,0,0
11036,Mysore-Dadar Sharavati Express,Exp,CR,MYS,MYSORE JN,DR,MUMBAI DADAR CENTRAL,06:15:00,05:50:00,23.0,35.0,1212.0,11035,1,1,1,0,0,0
11037,PUNE - GORAKHPUR Exp,Exp,CR,PUNE,PUNE JN,GKP,GORAKHPUR JN,16:15:00,01:15:00,33.0,0.0,1771.0,11038,1,1,1,0,0,0
11038,GORAKHPUR - PUNE Exp,Exp,CR,GKP,GORAKHPUR JN,PUNE,PUNE JN,15:30:00,04:05:00,36.0,35.0,1771.0,11037,1,1,1,0,0,0
11039,Maharashtra Express,Exp,CR,KOP,C SHAHU M RAJ KOLHAPUR TERM,G,GONDIA JN,15:30:00,20:15:00,28.0,45.0,1346.0,11040,1,1,1,0,0,0
11039-Slip,Kolhapur-Gorakhpur Express Slip,Exp,CR,KOP,C SHAHU M RAJ KOLHAPUR TERM,GKP,GORAKHPUR JN,15:30:00,19:10:00,51.0,40.0,2107.0,,1,0,0,0,0,0
11040,Maharashtra Express,Exp,CR,G,GONDIA JN,KOP,C SHAHU M RAJ KOLHAPUR TERM,08:20:00,12:45:00,28.0,25.0,1346.0,11039,1,1,1,0,0,0
11040-Slip,Gondia-Solapur Maharashtra Express Slip,Exp,CR,G,GONDIA JN,SUR,SOLAPUR JN,08:20:00,08:50:00,24.0,30.0,1132.0,,1,0,0,0,0,0
11041,Mumbai - Chennai Express,Exp,CR,CSTM,MUMBAI CST,MAS,CHENNAI CENTRAL,14:00:00,16:45:00,26.0,45.0,1283.0,11042,1,1,1,0,0,0
11043,MUMBAI LTT - MADURAI Exp,Exp,CR,LTT,LOKMANYA TILAK TERM,MDU,MADURAI JN,00:15:00,12:30:00,36.0,15.0,1702.0,11044,1,1,1,0,0,0
11044,MADURAI - MUMBAI LTT Exp,Exp,CR,MDU,MADURAI JN,LTT,LOKMANYA TILAK TERM,18:00:00,05:45:00,35.0,45.0,1702.0,11043,1,1,1,0,0,0
11045,KOLHAPUR CSMT - DHANBAD Deekshabhoomi Exp,Exp,CR,KOP,C SHAHU M RAJ KOLHAPUR TERM,DHN,DHANBAD JN,23:45:00,12:00:00,60.0,15.0,2968.0,11046,1,1,0,0,0,0
11047,Hubli Express,Exp,CR,MRJ,MIRAJ JN,UBL,HUBLI JN,00:10:00,06:25:00,6.0,15.0,279.0,11048,1,0,0,0,0,0
11048,Hubli Miraj Express,Exp,CR,UBL,HUBLI JN,MRJ,MIRAJ JN,23:00:00,05:15:00,6.0,15.0,279.0,11047,1,0,0,0,0,0
11049,Ahmedabad-Kolhapur Express,Exp,CR,ADI,AHMEDABAD JN,KOP,C SHAHU M RAJ KOLHAPUR TERM,19:30:00,15:25:00,19.0,55.0,961.0,11050,1,1,1,0,0,0
11050,Kolhapur-Ahmedabad Express,Exp,CR,KOP,C SHAHU M RAJ KOLHAPUR TERM,ADI,AHMEDABAD JN,12:50:00,07:45:00,18.0,55.0,961.0,11049,1,1,1,0,0,0
11051,Solapur-Kolhapur Express,Exp,CR,SUR,SOLAPUR JN,KOP,C SHAHU M RAJ KOLHAPUR TERM,08:10:00,14:15:00,6.0,5.0,315.0,11052,1,1,0,0,0,0
11052,Kolhapur Solapur Express,Exp,CR,KOP,C SHAHU M RAJ KOLHAPUR TERM,SUR,SOLAPUR JN,08:45:00,15:00:00,6.0,15.0,315.0,11051,1,1,0,0,0,0
11056,GORAKHPUR - MUMBAI LTT Exp,Exp,CR,GKP,GORAKHPUR JN,LTT,LOKMANYA TILAK TERM,06:25:00,16:05:00,33.0,40.0,1733.0,11055,1,1,1,0,0,0
11057,Dadar Amritsar Express,Exp,CR,DR,MUMBAI DADAR CENTRAL,ASR,AMRITSAR JN,23:45:00,16:30:00,40.0,45.0,2037.0,11058,1,1,1,0,0,0
11057-Slip,Dadar Amritsar Express Slip,Exp,CR,DR,MUMBAI DADAR CENTRAL,DHI,Dhule,23:45:00,07:25:00,7.0,40.0,375.0,,1,1,1,0,0,0
11058,Amritsar Dadar Express,Exp,CR,ASR,AMRITSAR JN,DR,MUMBAI DADAR CENTRAL,08:30:00,04:00:00,43.0,30.0,2037.0,11057,1,1,1,0,0,0
11059,MUMBAI LTT - CHHAPRA Godan Exp,Exp,CR,LTT,LOKMANYA TILAK TERM,CPR,CHHAPRA,10:55:00,20:55:00,34.0,0.0,1772.0,11060,1,1,1,0,0,0
11060,CHHAPRA - MUMBAI LTT Godan Exp,Exp,CR,CPR,CHHAPRA,LTT,LOKMANYA TILAK TERM,05:30:00,16:05:00,34.0,35.0,1772.0,11059,1,1,1,0,0,0
11062,DARBHANGA - MUMBAI LTT Pawan Exp,Exp,CR,DBG,DARBHANGA JN,LTT,LOKMANYA TILAK TERM,15:50:00,03:45:00,35.0,55.0,1791.0,11061,1,1,1,0,0,0
56305,Kottayam Kollam Passenger,Pass,SR,KTYM,KOTTAYAM,QLN,KOLLAM JN,05:40:00,08:10:00,2.0,30.0,96.0,,0,0,0,0,0,0
58651,Ranchi Lohardaga Passenger,Pass,SER,RNC,RANCHI,LAD,Lohardaga,05:30:00,07:00:00,1.0,30.0,67.0,58652,0,0,0,0,0,0
04858,Jodhpur Pipar Road Passenger Special,Pass,NWR,JU,JODHPUR JN,PPR,PIPAR ROAD JN,18:30:00,19:28:00,0.0,58.0,46.0,04857,0,0,0,0,0,0
05305,Farrukhabad-KanpurAnwarganj Passenger,Pass,NER,FBD,FARRUKHABAD,CPA,KANPUR ANWARGANJ,11:00:00,14:25:00,3.0,25.0,138.0,05306,0,0,0,0,0,0
05306,KanpurAnwarganj-Farrukhabad Special,Exp,NER,CPA,KANPUR ANWARGANJ,FBD,FARRUKHABAD,14:55:00,18:20:00,3.0,25.0,138.0,05305,0,0,0,0,0,0
05650,Kamakhya - Mumbai LTT (Weekly) Special,Exp,NFR,KYQ,KAMAKHYA,LTT,LOKMANYA TILAK TERM,15:50:00,22:45:00,54.0,55.0,2613.0,05649,1,1,0,0,0,0
05697,Hill Queen Express,JShtb,NFR,LMG,LUMDING JN,LFG,Lower Haflong,09:45:00,13:30:00,3.0,45.0,104.0,05698,0,0,0,0,0,1
05698,Hill Queen Express,JShtb,NFR,LFG,Lower Haflong,LMG,LUMDING JN,13:45:00,17:30:00,3.0,45.0,104.0,05697,0,0,0,0,0,1
06002,Kollam-Chennai Central SF Special,SF,SR,QLN,KOLLAM JN,MAS,CHENNAI CENTRAL,11:30:00,03:40:00,16.0,10.0,858.0,06001,1,1,1,0,0,0
06003,Chennai Central-Kollam Special,Exp,SR,MAS,CHENNAI CENTRAL,QLN,KOLLAM JN,20:45:00,11:30:00,14.0,45.0,857.0,06002,1,1,1,0,0,0
06004,Kollam-Chennai Central Special,Exp,SR,QLN,KOLLAM JN,MAS,CHENNAI CENTRAL,17:50:00,10:45:00,16.0,55.0,857.0,06005,1,1,1,0,0,0
06005,Chennai Central-Kollam SF Special,SF,SR,MAS,CHENNAI CENTRAL,QLN,KOLLAM JN,20:45:00,11:30:00,14.0,45.0,857.0,06006,1,1,1,0,0,0
06006,Kollam-Chennai Central SF Special,SF,SR,QLN,KOLLAM JN,MAS,CHENNAI CENTRAL,17:50:00,10:45:00,16.0,55.0,857.0,06007,1,1,1,0,0,0
06007,Chennai Central-Kollam SF Special,SF,SR,MAS,CHENNAI CENTRAL,QLN,KOLLAM JN,15:15:00,06:45:00,15.0,30.0,858.0,06008,1,1,1,0,0,0
06008,KollamChennai Central SF Special,SF,SR,QLN,KOLLAM JN,MAS,CHENNAI CENTRAL,11:30:00,03:40:00,16.0,10.0,858.0,06007,1,1,1,0,0,0
06009,Chennai CentralKollam SF Special,SF,SR,MAS,CHENNAI CENTRAL,QLN,KOLLAM JN,23:30:00,15:30:00,16.0,0.0,858.0,06008,1,1,1,0,0,0
06011,Chennai Central Kollam (Weekly) SF Special,SF,SR,MAS,CHENNAI CENTRAL,QLN,KOLLAM JN,15:15:00,05:45:00,14.0,30.0,858.0,06010,1,1,1,0,0,0
06201,Mysore-Sainagar Shirdi Special,Exp,SWR,MYS,MYSORE JN,SNSI,SAINAGAR SHIRDI,05:30:00,11:30:00,30.0,0.0,1304.0,06202,1,1,1,0,0,0
06202,Sainagar Shirdi - Mysore Special,Exp,SWR,SNSI,SAINAGAR SHIRDI,MYS,MYSORE JN,23:55:00,07:10:00,31.0,15.0,1304.0,06201,1,1,1,0,0,0
06215,Mysore Nanjangud Town passenger,Pass,SWR,MYS,MYSORE JN,NTW,NANJANGUD TOWN,16:10:00,17:05:00,0.0,55.0,25.0,06216,0,0,0,0,0,0
06216,Nanjangud Town Mysore Passenger,Pass,SWR,NTW,NANJANGUD TOWN,MYS,MYSORE JN,17:30:00,18:20:00,0.0,50.0,25.0,06215,0,0,0,0,0,0
06228,Shimoga Mysore Express,Exp,SWR,SMET,Shimoga Town,MYS,MYSORE JN,22:10:00,07:00:00,8.0,50.0,276.0,,1,0,0,0,0,0
06301,Nagercoil-Mangalore Special,Exp,SR,NCJ,NAGERCOIL JN,MAJN,MANGALORE JN,16:50:00,10:30:00,17.0,40.0,711.0,06302,1,1,1,0,0,0
06302,Mangalore-Nagercoil Special,Exp,SR,MAJN,MANGALORE JN,NCJ,NAGERCOIL JN,16:15:00,07:50:00,15.0,35.0,711.0,06301,1,1,1,0,0,0
06501,Yesvantpur - Ahmedabad Garib Rath Special,GR,SWR,YPR,YESVANTPUR JN,ADI,AHMEDABAD JN,05:20:00,16:10:00,34.0,50.0,1719.0,06502,0,1,0,0,0,0
06502,Ahmedabad -Yesvantpur Garib Rath Special,GR,SWR,ADI,AHMEDABAD JN,YPR,YESVANTPUR JN,20:15:00,11:25:00,39.0,10.0,1719.0,06501,0,1,0,0,0,0
06535,Bijapur Express,Exp,SWR,YPR,YESVANTPUR JN,BJP,BIJAPUR,19:45:00,11:00:00,15.0,15.0,712.0,06536,1,1,1,1,0,0
06536,Bijapur-Yesvantpur Special,Exp,SWR,BJP,BIJAPUR,YPR,YESVANTPUR JN,17:40:00,09:15:00,15.0,35.0,712.0,06535,1,1,1,1,0,0
06591,Yesvantpur-Hosur Passenger Special,Pass,SWR,YPR,YESVANTPUR JN,HSRA,Hosur,06:20:00,07:55:00,1.0,35.0,67.0,06592,0,0,0,0,0,0
06592,Hosur-Yesvantpur Passenger,Pass,SWR,HSRA,Hosur,YPR,YESVANTPUR JN,08:10:00,09:50:00,1.0,40.0,67.0,06593,0,0,0,0,0,0
06594,Hosur-Yesvantpur Passenger Special,Pass,SWR,HSRA,Hosur,YPR,YESVANTPUR JN,17:45:00,19:20:00,1.0,35.0,67.0,06593,0,0,0,0,0,0
06595,Yesvantpur-Devanhalli Special,Pass,SWR,YPR,YESVANTPUR JN,DHL,Devanhalli,10:40:00,11:45:00,1.0,5.0,36.0,06596,0,0,0,0,0,0
06596,Devanahalli-Yesvantpur Special,Pass,SWR,DHL,Devanhalli,YPR,YESVANTPUR JN,13:15:00,14:25:00,1.0,10.0,36.0,06595,0,0,0,0,0,0
06617,Coimbatore-Nagercoil Special,Exp,SR,CBE,COIMBATORE JN,NCJ,NAGERCOIL JN,20:20:00,06:40:00,10.0,20.0,497.0,06618,1,1,1,0,0,0
06618,Nagercoil-Coimbatore Special,Exp,SR,NCJ,NAGERCOIL JN,CBE,COIMBATORE JN,20:15:00,08:00:00,11.0,45.0,497.0,06617,1,1,1,0,0,0
06621,Coimbatore-Yesvantpur SF Special,SF,SR,CBE,COIMBATORE JN,YPR,YESVANTPUR JN,06:00:00,13:20:00,7.0,20.0,440.0,06622,0,0,0,0,0,1
06622,Yesvantpur-Coimbatore SF Special,SF,SR,YPR,YESVANTPUR JN,CBE,COIMBATORE JN,14:15:00,21:40:00,7.0,25.0,440.0,06621,0,0,0,0,0,1
06837,Karaikkudi Manamadurai Passenger,Pass,SR,KKDI,Karaikkudi Junction,MNM,MANAMADURAI JN,18:30:00,19:50:00,1.0,20.0,61.0,06838,0,0,0,0,0,0
06838,Manamadurai Karaikkudi Passenger,Pass,SR,MNM,MANAMADURAI JN,KKDI,Karaikkudi Junction,07:55:00,09:15:00,1.0,20.0,61.0,06837,0,0,0,0,0,0
06839,Tiruchirappalli Karaikkudi Passenger Special,Pass,SR,TPJ,TIRUCHIRAPPALLI,KKDI,Karaikkudi Junction,15:55:00,18:15:00,2.0,20.0,90.0,06840,0,0,0,0,0,0
06840,Karaikkudi-Tiruchirappalli Passenger Special,Pass,SR,KKDI,Karaikkudi Junction,TPJ,TIRUCHIRAPPALLI,09:40:00,12:05:00,2.0,25.0,90.0,06839,0,0,0,0,0,0
06948,Hubli Jn - Vasco Da Gama Link Express,Exp,?,UBL,HUBLI JN,VSG,VASCO DA GAMA,23:00:00,06:30:00,7.0,30.0,236.0,,1,1,0,0,0,0
07003,Hyderabad-Korba Special,Exp,SCR,HYB,HYDERABAD DECCAN,KRBA,Korba,10:45:00,05:45:00,19.0,0.0,996.0,07004,1,1,1,0,0,0
07004,Korba-Hyderabad Special,Exp,SCR,KRBA,Korba,HYB,HYDERABAD DECCAN,08:00:00,04:45:00,20.0,45.0,999.0,07003,1,1,1,0,0,0
07105,Ajmer - Hyderabad Special,Exp,SCR,AII,AJMER JN,HYB,HYDERABAD DECCAN,22:45:00,14:00:00,39.0,15.0,2033.0,07106,1,1,1,0,0,0
40005,Chennai Beach Tambaram EMU,MEMU,SR,MSB,CHENNAI BEACH,TBM,TAMBARAM,06:20:00,07:15:00,0.0,55.0,29.0,,0,0,0,0,0,0
55138,Shahganj Ballia Passenger,Pass,NER,SHG,SHAHGANJ JN,BUI,BALLIA,06:15:00,10:45:00,4.0,30.0,168.0,55137,0,0,0,0,0,0
56393,Kottayam Kollam Passenger,Pass,SR,KTYM,KOTTAYAM,QLN,KOLLAM JN,17:45:00,20:15:00,2.0,30.0,96.0,56394,0,0,0,0,0,0
24041,DELHI SARAI ROHILLA - KOTDWAR Mussoorie Exp,,,NBD,NAJIBABAD JN,KTW,KOTDWARA,None,None,,,,24042,0,0,0,0,0,0
07144,Shahu Maharaj T. Kolhapur - Hyderabad Special,Exp,SCR,KOP,C SHAHU M RAJ KOLHAPUR TERM,HYB,HYDERABAD DECCAN,07:30:00,06:45:00,23.0,15.0,998.0,07143,1,1,1,0,0,0
07301,Mysore Shimoga Express,Exp,SWR,MYS,MYSORE JN,SMET,Shimoga Town,22:15:00,06:10:00,7.0,55.0,276.0,,1,0,0,0,0,0
07403,Adilabad-Nanded Special,Pass,SCR,ADB,ADILABAD,NED,HUZUR SAHIB NANDED,07:30:00,12:15:00,4.0,45.0,185.0,07404,0,0,0,0,0,0
07404,Nanded-Adilabad Special,Pass,SCR,NED,HUZUR SAHIB NANDED,ADB,ADILABAD,15:00:00,19:30:00,4.0,30.0,185.0,07403,0,0,0,0,0,0
07603,Kacheguda Kamareddi Special,Pass,SCR,KCG,KACHEGUDA,KMC,KAMAREDDI,09:10:00,12:30:00,3.0,20.0,114.0,07604,0,0,0,0,0,0
07605,Kamareddi-Nizamabad Passenger Special,Pass,SCR,KMC,KAMAREDDI,NZB,NIZAMABAD,12:45:00,13:40:00,0.0,55.0,52.0,07606,0,0,0,0,0,0
07606,Nizamabad-Kamareddi Special,Pass,SCR,NZB,NIZAMABAD,KMC,KAMAREDDI,14:20:00,15:15:00,0.0,55.0,52.0,07605,0,0,0,0,0,0
07607,Secunderabad - Mancherial Special,Exp,SCR,SC,SECUNDERABAD JN,MCI,MANCHIRYAL,05:30:00,09:35:00,4.0,5.0,239.0,07608,0,0,0,0,0,0
07608,Mancherial - Secunderabad Special,Exp,SCR,MCI,MANCHIRYAL,SC,SECUNDERABAD JN,10:30:00,14:30:00,4.0,0.0,239.0,07607,0,0,0,0,0,0
08001,Kharagpur-Jhargram Express Special,Exp,SER,KGP,KHARAGPUR JN,JGM,JHARGRAM,10:10:00,10:45:00,0.0,35.0,39.0,08002,0,0,0,0,0,1
08002,Jhargram-Kharagpur Special,Exp,SER,JGM,JHARGRAM,KGP,KHARAGPUR JN,18:25:00,19:20:00,0.0,55.0,39.0,08001,0,0,0,0,0,1
08004,Mysore - Howrah Special,Exp,SER,MYS,MYSORE JN,HWH,HOWRAH JN,00:30:00,14:50:00,38.0,20.0,2111.0,08003,1,1,1,0,0,0
08017,Kharagpur- Jhargram MEMU Special,MEMU,?,KGP,KHARAGPUR JN,JGM,JHARGRAM,05:10:00,06:00:00,0.0,50.0,38.0,08018,0,0,0,0,0,0
08018,Jhargram - Kharagpur MEMU Special,MEMU,SER,JGM,JHARGRAM,KGP,KHARAGPUR JN,22:10:00,23:05:00,0.0,55.0,38.0,08017,0,0,0,0,0,0
08043,Kolkata Shalimar-Haridwar Puja Special,Exp,SER,SHM,KOLKATA SHALIMAR,HW,HARIDWAR JN,17:20:00,23:05:00,29.0,45.0,1595.0,08044,1,1,1,0,0,0
08051,Kharagpur- Jhargram MEMU Special,MEMU,?,KGP,KHARAGPUR JN,JGM,JHARGRAM,06:07:00,06:45:00,0.0,38.0,38.0,08052,0,0,0,0,0,0
08052,Jhargram - Kharagpur MEMU Special,MEMU,SER,JGM,JHARGRAM,KGP,KHARAGPUR JN,18:00:00,18:40:00,0.0,40.0,38.0,08051,0,0,0,0,0,0
08055,Shalimar-Tirupati Special,SF,SER,SHM,KOLKATA SHALIMAR,TPTY,TIRUPATI MAIN,15:50:00,18:00:00,26.0,10.0,1616.0,08056,1,1,1,0,0,0
08113,Tatanagar Bilaspur Passenger,Pass,SER,TATA,TATANAGAR JN,BSP,BILASPUR JN,16:30:00,06:45:00,14.0,15.0,470.0,08114,0,0,0,0,0,0
08114,Bilaspur Tatanagar Passenger,Pass,SER,BSP,BILASPUR JN,TATA,TATANAGAR JN,18:50:00,12:30:00,17.0,40.0,470.0,08113,0,0,0,0,0,0
08469,Puri-Bangalore weekly Garib Rath special,GR,ECoR,PURI,PURI,SBC,BANGALORE CITY JN,14:30:00,22:45:00,32.0,15.0,1529.0,08470,0,1,0,0,0,0
08470,Bangalore-Puri Garib Rath Special,GR,ECoR,SBC,BANGALORE CITY JN,PURI,PURI,23:55:00,05:50:00,29.0,55.0,1529.0,08469,0,1,0,0,0,0
08471,Bhubaneswar - Tirupati Weekly Special,Exp,ECoR,BBS,BHUBANESWAR,TPTY,TIRUPATI MAIN,11:45:00,09:45:00,22.0,0.0,1205.0,08472,1,1,1,0,0,0
08472,Tirupati - Bhubaneswar Weekly Special,Exp,ECoR,TPTY,TIRUPATI MAIN,BBS,BHUBANESWAR,14:00:00,14:00:00,24.0,0.0,1205.0,08471,1,1,1,0,0,0
08565,Visakhapatnam-Secunderabad Special,Exp,ECoR,VSKP,VISHAKAPATNAM,SC,SECUNDERABAD JN,19:40:00,09:00:00,13.0,20.0,701.0,08566,1,1,1,0,0,0
08566,Secunderabad Vishakaptnam Special,Exp,ECoR,SC,SECUNDERABAD JN,VSKP,VISHAKAPATNAM,21:30:00,10:15:00,12.0,45.0,701.0,08565,1,1,1,0,0,0
08567,Visakhapatnam Sainagar Shirdi special,Exp,ECoR,VSKP,VISHAKAPATNAM,SNSI,SAINAGAR SHIRDI,05:30:00,11:00:00,29.0,30.0,1403.0,08568,1,1,1,0,0,0
08568,Shirdi-Visakhapatnam Weekly Special,Exp,ECoR,SNSI,SAINAGAR SHIRDI,VSKP,VISHAKAPATNAM,18:20:00,22:45:00,28.0,25.0,1405.0,08567,1,1,1,0,0,0
08569,Visakhapatnam-Kollam Sabarimalai Special,Exp,ECoR,VSKP,VISHAKAPATNAM,QLN,KOLLAM JN,09:00:00,15:30:00,30.0,30.0,1568.0,,1,1,1,0,0,0
08786,Dalli Rajhara Durg Pass,Pass,SECR,DRZ,Dalli Rajhara,DURG,DURG,18:05:00,20:10:00,2.0,5.0,88.0,08785,0,0,0,0,0,0
08787,Raipur-Durg Special,Pass,SECR,R,RAIPUR JN,DURG,DURG,09:20:00,10:20:00,1.0,0.0,37.0,08788,0,0,0,0,0,0
08788,Durg-Raipur Special,Pass,SECR,DURG,DURG,R,RAIPUR JN,08:05:00,09:05:00,1.0,0.0,37.0,08787,0,0,0,0,0,0
09002,Ahmedabad Mumbai Central Superfast Special,SF,WR,ADI,AHMEDABAD JN,BCT,Mumbai Central,21:40:00,05:45:00,8.0,5.0,491.0,09001,1,1,1,0,0,0
09021,BANDRA TERMINUS - JAMMU TAWI AC Suvidha Special (Starts 4 April),SF,WR,BDTS,MUMBAI BANDRA TERMINUS,JAT,JAMMU TAWI,16:55:00,01:40:00,32.0,45.0,1955.0,09022,1,1,1,1,0,0
09051,Valsad-Varanasi Weekly Special,Exp,WR,BL,VALSAD,BSB,VARANASI JN,19:40:00,01:10:00,29.0,30.0,1467.0,09052,1,1,1,0,0,0
09221,Porbandar Secunderabad Weekly Special,Exp,WR,PBR,PORBANDAR,SC,SECUNDERABAD JN,23:50:00,10:30:00,34.0,40.0,1694.0,09222,1,1,1,0,0,0
09561,Bandra Terminus Okha Weekly Special,Exp,WR,BDTS,MUMBAI BANDRA TERMINUS,OKHA,OKHA,23:55:00,20:15:00,20.0,20.0,980.0,09562,1,0,1,0,0,0
09733,Hanumangarh Kota Special,Exp,NWR,HMH,HANUMANGARH JN,KOTA,KOTA JN,18:25:00,09:30:00,15.0,5.0,852.0,09734,1,1,1,0,1,0
09734,Kota Hanumangarh Special,Exp,NWR,KOTA,KOTA JN,HMH,HANUMANGARH JN,16:40:00,08:45:00,16.0,5.0,852.0,09733,1,1,1,0,1,0
11015,Kushinagar Express,Exp,CR,LTT,LOKMANYA TILAK TERM,GKP,GORAKHPUR JN,22:45:00,07:25:00,32.0,40.0,1680.0,11016,1,1,1,0,0,0
12084,Coimbatore-Mayiladuturai Jan Shatabdi,JShtb,SR,CBE,COIMBATORE JN,MV,MAYILADUTURAI JN,07:00:00,13:40:00,6.0,40.0,362.0,12083,0,0,0,0,0,1
13401,InterCity Express,Exp,ER,BGP,BHAGALPUR,DNR,DANAPUR,05:25:00,12:15:00,6.0,50.0,231.0,13402,0,0,0,0,0,1
13410,InterCity Express,Exp,ER,BGP,BHAGALPUR,MLDT,MALDA TOWN,16:40:00,21:00:00,4.0,20.0,178.0,13409,0,0,0,0,0,0
40007,Chennai Beach Tambaram EMU(12 Car),MEMU,SR,MSB,CHENNAI BEACH,TBM,TAMBARAM,07:15:00,08:10:00,0.0,55.0,33.0,,0,0,0,0,0,0
56320,Coimbatore Nagercoil Passenger,Pass,SR,CBE,COIMBATORE JN,NCJ,NAGERCOIL JN,07:10:00,20:25:00,13.0,15.0,532.0,56319,0,0,0,0,0,0
08785,Durg Dalli Rajhara Pass,Pass,SECR,DURG,DURG,DRZ,Dalli Rajhara,15:30:00,17:35:00,2.0,5.0,88.0,08786,0,0,0,0,0,0
01494,Bijapur Hubli Special,Exp,CR,BJP,BIJAPUR,UBL,HUBLI JN,00:05:00,06:10:00,6.0,5.0,249.0,01493,1,0,0,0,0,0
09222,Secunderabad-Porbandar Weekly Special,Exp,WR,SC,SECUNDERABAD JN,PBR,PORBANDAR,14:50:00,01:30:00,34.0,40.0,1683.0,09221,1,1,1,0,0,0
09405,Ahmedabad Yesvantpur (Weekly) Special,Exp,WR,ADI,AHMEDABAD JN,YPR,YESVANTPUR JN,19:30:00,04:00:00,32.0,30.0,1556.0,09406,1,1,0,0,0,0
09406,Yeshwantpur-Ahmedabad Special,Exp,WR,YPR,YESVANTPUR JN,ADI,AHMEDABAD JN,05:50:00,15:10:00,33.0,20.0,1581.0,09405,1,1,1,0,0,0
