number,name,type,zone,from_station_code,from_station_name,to_station_code,to_station_name,departure,arrival,duration_h,duration_m,distance,return_train,sleeper,third_ac,second_ac,first_ac,first_class,chair_car
63592,Asansol-Bokaro Steel City MEMU,MEMU,ER,ASN,ASANSOL JN,BKSC,BOKARO STEEL CITY,07:05:00,10:30:00,3.0,25.0,140.0,63591,0,0,0,0,0,0
63593,Purulia Asansol MEMU Passenger,MEMU,ER,PRR,PURULIA JN,ASN,ASANSOL JN,14:20:00,16:45:00,2.0,25.0,80.0,63594,0,0,0,0,0,0
63594,Asansol-Purulia MEMU,MEMU,?,ASN,ASANSOL JN,PRR,PURULIA JN,10:52:00,13:15:00,2.0,23.0,80.0,63593,0,0,0,0,0,0
63595,Bokaro Steel City-Asansol MEMU,MEMU,ER,BKSC,BOKARO STEEL CITY,ASN,ASANSOL JN,03:40:00,08:50:00,5.0,10.0,194.0,63596,0,0,0,0,0,0
63596,Asansol-Bokaro Steel City MEMU,MEMU,ER,ASN,ASANSOL JN,BKSC,BOKARO STEEL CITY,17:50:00,22:30:00,4.0,40.0,146.0,63595,0,0,0,0,0,0
64001,Delhi Panipat EMU,MEMU,NR,DLI,OLD DELHI,PNP,PANIPAT JN,19:30:00,21:45:00,2.0,15.0,88.0,64002,0,0,0,0,0,0
64002,Panipat Delhi EMU,MEMU,NR,PNP,PANIPAT JN,DLI,OLD DELHI,06:30:00,08:45:00,2.0,15.0,88.0,64001,0,0,0,0,0,0
64089,Nizamuddin Parikrama,Del,NR,NZM,DELHI H NIZAMUDDIN,PGMD,PRAGATI MAIDAN,16:45:00,17:59:00,1.0,14.0,32.0,,0,0,0,0,0,0
64090,Nizamuddin Parikrama EMU,Del,NR,NZM,DELHI H NIZAMUDDIN,LPNR,LAJPAT NAGAR,09:15:00,10:31:00,1.0,16.0,32.0,,0,0,0,0,0,0
64091,Nizamuddin Nizamuddin Parikrama EMU,Del,NR,NZM,DELHI H NIZAMUDDIN,PGMD,PRAGATI MAIDAN,08:00:00,09:36:00,1.0,36.0,37.0,,0,0,0,0,0,0
